"title","audience_score","type","genre","runtime","year","mpaa_rating","imdb_num_votes","critics_score","critics_rating","best_pic_nom","best_pic_win","best_actor_win","best_actress_win","best_dir_win","audience_rating","director","actor1","actor2","actor3","actor4","actor5","rt_url","imdb_url","imdb_id"
"Kill Bill: Vol. 2",89,"Feature Film","Drama",137,2004,"R",414123,84,"Certified Fresh","no","no","no","no","no","Upright","Quentin Tarantino","Uma Thurman","David Carradine","Michael Madsen","Daryl Hannah","Gordon Liu","http://www.rottentomatoes.com/m/kill_bill_volume_2/","http://www.imdb.com/title/tt0378194/","378194"
"Win Win",85,"Feature Film","Drama",106,2011,"R",44389,94,"Certified Fresh","no","no","no","no","no","Upright","Tom McCarthy","Paul Giamatti","Amy Ryan","Bobby Cannavale","Jeffrey Tambor","Burt Young","http://www.rottentomatoes.com/m/win_win_2011/","http://www.imdb.com/title/tt1606392/","1606392"
"Onegin",72,"Feature Film","Drama",106,1999,"R",5570,48,"Rotten","no","no","no","no","no","Upright","Martha Fiennes","Toby Stephens","Liv Tyler","Lena Headey","Martin Donovan","Francesca Annis","http://www.rottentomatoes.com/m/1093905-onegin/","http://www.imdb.com/title/tt0119079/","119079"
"The Big Hit",58,"Feature Film","Action & Adventure",91,1998,"R",22808,41,"Rotten","no","no","no","no","no","Spilled","Kirk Wong","Mark Wahlberg","Lou Diamond Phillips","Christina Applegate","Bokeem Woodbine","Antonio Sabato Jr.","http://www.rottentomatoes.com/m/big_hit/","http://www.imdb.com/title/tt0120609/","120609"
"Stormy Monday",49,"Feature Film","Drama",93,1988,"R",2463,73,"Fresh","no","no","no","no","no","Spilled","Mike Figgis","Melanie Griffith","Sean Bean","Sting","Tommy Lee Jones","James Cosmo","http://www.rottentomatoes.com/m/stormy_monday/","http://www.imdb.com/title/tt0096180/","96180"
"The Hot Rock",68,"Feature Film","Drama",101,1972,"PG",3336,63,"Fresh","no","no","no","no","no","Upright","Peter Yates","Robert Redford","George Segal","Zero Mostel","Ron Leibman","Paul Sand","http://www.rottentomatoes.com/m/hot_rock/","http://www.imdb.com/title/tt0068718/","68718"
"The Funeral",68,"Feature Film","Drama",99,1996,"R",6339,79,"Fresh","no","no","no","no","no","Upright","Abel Ferrara","Christopher Penn","Christopher Walken","Chris Penn","Vincent Gallo","Benicio Del Toro","http://www.rottentomatoes.com/m/1074517-funeral/","http://www.imdb.com/title/tt0116378/","116378"
"Boogeyman",21,"Feature Film","Drama",89,2005,"R",23795,13,"Rotten","no","no","no","no","no","Spilled","Stephen T. Kay","Barry Watson","Emily Deschanel","Skye McCole Bartusiak","Lucy Lawless","Tory Mussett","http://www.rottentomatoes.com/m/boogeyman/","http://www.imdb.com/title/tt0357507/","357507"
"Scary Movie 5",40,"Feature Film","Horror",86,2013,"PG-13",39484,4,"Rotten","no","no","no","no","no","Spilled","Malcolm D. Lee","Ashley Tisdale","Simon Rex","Erica Ash","Charlie Sheen","Katrina Bowden","http://www.rottentomatoes.com/m/scary_movie_5/","http://www.imdb.com/title/tt0795461/","795461"
"The Cross of Iron",87,"Feature Film","Other",132,1977,"R",18199,80,"Fresh","no","no","yes","no","no","Upright","Sam Peckinpah","James Coburn","Maximilian Schell","James Mason","David Warner","Klaus Lowitsch","http://www.rottentomatoes.com/m/cross_of_iron/","http://www.imdb.com/title/tt0074695/","74695"
"The Doors",80,"Feature Film","Drama",140,1991,"R",60397,54,"Rotten","no","no","no","no","yes","Upright","Oliver Stone","Val Kilmer","Meg Ryan","Kevin Dillon","Kyle MacLachlan","Frank Whaley","http://www.rottentomatoes.com/m/doors/","http://www.imdb.com/title/tt0101761/","101761"
"China Moon",37,"Feature Film","Mystery & Suspense",99,1994,"R",3699,40,"Rotten","no","no","no","no","no","Spilled","John Bailey","Madeline Stowe","Madeleine Stowe","Ed Harris","Benicio Del Toro","Charles Dance","http://www.rottentomatoes.com/m/china_moon/","http://www.imdb.com/title/tt0109417/","109417"
"The Bachelor",28,"Feature Film","Comedy",101,1999,"PG-13",13430,9,"Rotten","no","no","no","no","no","Spilled","Steve Cohen","Renee Zellweger","Hal Holbrook","James Cromwell","Edward Asner","Brooke Shields","http://www.rottentomatoes.com/m/1093976-bachelor/","http://www.imdb.com/title/tt0120596/","120596"
"The Ant Bully",43,"Feature Film","Drama",88,2006,"PG",26773,63,"Fresh","no","no","no","no","no","Spilled","John A. Davis","Zach Tyler Eisen","Mark De Carlo","Paul Greenberg","David Kaye","Alfred Jackson","http://www.rottentomatoes.com/m/ant_bully/","http://www.imdb.com/title/tt0429589/","429589"
"Where the Buffalo Roam",74,"Feature Film","Comedy",96,1980,"R",8290,25,"Rotten","no","no","no","no","no","Upright","Art Linson","Bill Murray","Peter Boyle","Bruno Kirby","R.G. Armstrong","Rene Auberjonois","http://www.rottentomatoes.com/m/where_the_buffalo_roam/","http://www.imdb.com/title/tt0081748/","81748"
"Max Dugan Returns",69,"Feature Film","Drama",98,1983,"PG",2426,75,"Fresh","no","no","no","no","no","Upright","Herbert Ross","Marsha Mason","Jason Robards","Donald Sutherland","Matthew Broderick","Dody Goodman","http://www.rottentomatoes.com/m/max_dugan_returns/","http://www.imdb.com/title/tt0085919/","85919"
"Liar Liar",75,"Feature Film","Comedy",86,1997,"PG-13",174839,81,"Certified Fresh","no","no","no","no","no","Upright","Tom Shadyac","Jim Carrey","Jennifer Tilly","Maura Tierney","Swoosie Kurtz","Amanda Donohoe","http://www.rottentomatoes.com/m/liar_liar/","http://www.imdb.com/title/tt0119528/","119528"
"Come Early Morning",48,"Feature Film","Drama",97,2006,"R",2178,83,"Certified Fresh","no","no","no","no","no","Spilled","Joey Lauren Adams","Ashley Judd","Jeffrey Donovan","Laura Prepon","Diane Ladd","Tim Blake Nelson","http://www.rottentomatoes.com/m/come_early_morning/","http://www.imdb.com/title/tt0457308/","457308"
"The Music Never Stopped",82,"Feature Film","Drama",105,2011,"PG",4550,65,"Fresh","no","no","no","no","no","Upright","Jim Kohlberg","J.K. Simmons","Cara Seymour","Lou Taylor Pucci","Scott Adsit","James Urbaniak","http://www.rottentomatoes.com/m/the_music_never_stopped/","http://www.imdb.com/title/tt1613062/","1613062"
"The Watch",40,"Feature Film","Other",102,2012,"R",87979,17,"Rotten","no","no","no","no","no","Spilled","Akiva Schaffer","Billy Crudup","Jonah Hill","Ben Stiller","Richard Ayoade","Rosemarie DeWitt","http://www.rottentomatoes.com/m/the_watch_2012/","http://www.imdb.com/title/tt1298649/","1298649"
"You Will Meet a Tall Dark Stranger",34,"Feature Film","Drama",98,2010,"R",29817,46,"Rotten","no","no","yes","no","yes","Spilled","Woody Allen","Naomi Watts","Anthony Hopkins","Josh Brolin","Gemma Jones","Freida Pinto","http://www.rottentomatoes.com/m/you_will_meet_a_tall_dark_stranger/","http://www.imdb.com/title/tt1182350/","1182350"
"Legendary",59,"Feature Film","Drama",107,2010,"PG-13",3678,17,"Rotten","no","no","no","no","no","Spilled","Mel Damski","John Cena","Patricia Clarkson","Devon Graye","Danny Glover","Tyler Posey","http://www.rottentomatoes.com/m/legendary/","http://www.imdb.com/title/tt1563704/","1563704"
"Garfield: A Tail of Two Kitties",44,"Feature Film","Other",78,2006,"PG",21387,11,"Rotten","no","no","no","no","no","Spilled","Tim Hill","Bill Murray","Breckin Meyer","Jennifer Love Hewitt","Billy Connolly","Ian Abercrombie","http://www.rottentomatoes.com/m/garfield_2/","http://www.imdb.com/title/tt0455499/","455499"
"Simply Irresistible",55,"Feature Film","Drama",94,1999,"PG-13",10570,13,"Rotten","no","no","no","no","no","Spilled","Mark Tarlov","Sarah Michelle Gellar","Sean Patrick Flanery","Patricia Clarkson","Dylan Baker","Christopher Durang","http://www.rottentomatoes.com/m/simply_irresistible/","http://www.imdb.com/title/tt0145893/","145893"
"Wrongfully Accused",58,"Feature Film","Comedy",87,1998,"PG-13",15629,22,"Rotten","no","no","no","no","no","Spilled","Pat Proft","Leslie Nielsen","Richard Crenna","Kelly LeBrock","Sandra Bernhard","Michael York","http://www.rottentomatoes.com/m/wrongfully_accused/","http://www.imdb.com/title/tt0120901/","120901"
"Senseless",47,"Feature Film","Comedy",93,1998,"R",9206,6,"Rotten","no","no","no","no","no","Spilled","Penelope Spheeris","Marlon Wayans","David Spade","Matthew Lillard","Brad Dourif","Tamara Taylor","http://www.rottentomatoes.com/m/1081501-senseless/","http://www.imdb.com/title/tt0120820/","120820"
"Bangkok Dangerous",26,"Feature Film","Drama",99,2008,"R",42402,9,"Rotten","no","no","no","no","no","Spilled","Oxide Pang Chun","Charlie Yeung","Chakrit Yamnarm","James With","Shahkrit Yamnarm","Panward Hemmanee","http://www.rottentomatoes.com/m/bangkok_dangerous/","http://www.imdb.com/title/tt0814022/","814022"
"Diabolique",35,"Feature Film","Mystery & Suspense",107,1996,"R",10107,12,"Rotten","no","no","no","yes","no","Spilled","Jeremiah Chechik","Sharon Stone","Isabelle Adjani","Chazz Palminteri","Kathy Bates","Spalding Gray","http://www.rottentomatoes.com/m/1069985-diabolique/","http://www.imdb.com/title/tt0116095/","116095"
"Christmas with the Kranks",37,"Feature Film","Comedy",99,2004,"PG",21333,5,"Rotten","no","no","no","no","no","Spilled","Joe Roth","Tim Allen","Jamie Lee Curtis","Dan Aykroyd","M. Emmet Walsh","Elizabeth Franz","http://www.rottentomatoes.com/m/christmas_with_the_kranks/","http://www.imdb.com/title/tt0388419/","388419"
"Plump Fiction",41,"Feature Film","Comedy",82,1997,"R",3144,0,"Rotten","no","no","no","no","no","Spilled","Bob Koherr","Tommy Davidson","Paul Dinello","Sandra Bernhard","Dan Castellaneta","Colleen Camp","http://www.rottentomatoes.com/m/plump-fiction/","http://www.imdb.com/title/tt0117350/","117350"
"Crimes of the Heart",68,"Feature Film","Drama",105,1986,"PG-13",2491,81,"Fresh","no","no","no","yes","no","Upright","Bruce Beresford","Diane Keaton","Jessica Lange","Sissy Spacek","Tess Harper","Sam Shepard","http://www.rottentomatoes.com/m/crimes_of_the_heart/","http://www.imdb.com/title/tt0090886/","90886"
"Breakheart Pass",61,"Feature Film","Other",95,1975,"PG",3638,78,"Fresh","no","no","no","no","no","Upright","Tom Gries","Charles Bronson","Richard Crenna","Ben Johnson","Jill Ireland","Charles Durning","http://www.rottentomatoes.com/m/breakheart_pass/","http://www.imdb.com/title/tt0072735/","72735"
"A Far Off Place",71,"Feature Film","Action & Adventure",100,1993,"PG",2506,40,"Rotten","no","no","yes","yes","no","Upright","Mikael Salomon","Reese Witherspoon","Sarel Bok","Maximilian Schell","Robert John Burke","Patricia Kalember","http://www.rottentomatoes.com/m/far_off_place/","http://www.imdb.com/title/tt0106868/","106868"
"Waking Life",88,"Feature Film","Drama",99,2001,"R",40355,80,"Certified Fresh","no","no","no","no","no","Upright","Richard Linklater","Lorelei Linklater","Trevor Jack Brooks","Glover Gill","Laura Hicks","Ames Asbell","http://www.rottentomatoes.com/m/waking_life/","http://www.imdb.com/title/tt0243017/","243017"
"Roger Dodger",76,"Feature Film","Drama",106,2002,"R",13887,88,"Certified Fresh","no","no","no","no","no","Upright","Dylan Kidd","Campbell Scott","Jesse Eisenberg","Isabella Rossellini","Elizabeth Berkley","Jennifer Beals","http://www.rottentomatoes.com/m/roger_dodger/","http://www.imdb.com/title/tt0299117/","299117"
"U Turn",63,"Feature Film","Drama",125,1997,"R",38149,59,"Rotten","no","no","yes","no","yes","Upright","Oliver Stone","Sean Penn","Nick Nolte","Jennifer Lopez","Powers Boothe","Claire Danes","http://www.rottentomatoes.com/m/u-turn/","http://www.imdb.com/title/tt0120399/","120399"
"Croupier",80,"Feature Film","Mystery & Suspense",94,1998,"R",14007,98,"Certified Fresh","no","no","no","no","no","Upright","Mike Hodges","Clive Owen","Alex Kingston","Kate Hardie","Gina McKee","Nicholas Ball","http://www.rottentomatoes.com/m/croupier/","http://www.imdb.com/title/tt0159382/","159382"
"War Horse",74,"Feature Film","Drama",146,2011,"PG-13",95669,77,"Certified Fresh","yes","no","no","no","yes","Upright","Steven Spielberg","Peter Mullan","Jeremy Irvine","Emily Watson","Niels Arestrup","David Thewlis","http://www.rottentomatoes.com/m/war_horse/","http://www.imdb.com/title/tt1568911/","1568911"
"Jeffrey",68,"Feature Film","Drama",92,1995,"R",4541,68,"Fresh","no","no","no","no","no","Upright","Christopher Ashley","Steven Weber","Michael T. Weiss","Patrick Stewart","Bryan Batt","Nathan Lane","http://www.rottentomatoes.com/m/jeffrey/","http://www.imdb.com/title/tt0113464/","113464"
"Trafic",77,"Feature Film","Other",96,1971,"G",3086,100,"Fresh","no","no","no","no","no","Upright","Jacques Tati","Jacques Tati","Tony Knepper","Franco Ressel","Mario Zanuelli","Maria Kimberly","http://www.rottentomatoes.com/m/trafic_1972/","http://www.imdb.com/title/tt0069400/","69400"
"The Distinguished Gentleman",36,"Feature Film","Comedy",112,1992,"R",10436,13,"Rotten","no","no","no","no","no","Spilled","Jonathan Lynn","Eddie Murphy","Lane Smith","Sheryl Lee Ralph","Joe Don Baker","Victoria Rowell","http://www.rottentomatoes.com/m/the-distinguished-gentleman/","http://www.imdb.com/title/tt0104114/","104114"
"Speed 2: Cruise Control",16,"Feature Film","Mystery & Suspense",121,1997,"PG-13",53002,3,"Rotten","no","no","no","yes","no","Spilled","Jan de Bont","Gustavo Laborie","Joe Morton","Sandra Bullock","Jason Patric","Willem Dafoe","http://www.rottentomatoes.com/m/speed_2_cruise_control/","http://www.imdb.com/title/tt0120179/","120179"
"Late Marriage",79,"Feature Film","Drama",102,2001,"Unrated",2326,88,"Certified Fresh","no","no","no","no","no","Upright","Dover Koshashvili","Lior Ashkenazi","Ronit Elkabetz","Moni Moshonov","Lili Kosashvili","Sapir Kugman","http://www.rottentomatoes.com/m/late_marriage/","http://www.imdb.com/title/tt0287471/","287471"
"The Roommate",27,"Feature Film","Mystery & Suspense",91,2011,"PG-13",25207,4,"Rotten","no","no","no","no","no","Spilled","Christian E. Christiansen","Leighton Meester","Minka Kelly","Cam Gigandet","Alyson Michalka","Danneel Ackles","http://www.rottentomatoes.com/m/the_roommate/","http://www.imdb.com/title/tt1265990/","1265990"
"Europa",89,"Feature Film","Other",112,1991,"R",13947,85,"Fresh","no","no","no","no","no","Upright","Lars von Trier","Jean-Marc Barr","Barbara Sukowa","Udo Kier","Ernst-Hugo Jaregard","Erik Mork","http://www.rottentomatoes.com/m/zentropa/","http://www.imdb.com/title/tt0101829/","101829"
"Gas, Food Lodging",74,"Feature Film","Drama",101,1992,"R",2574,79,"Fresh","no","no","no","no","no","Upright","Allison Anders","Brooke Adams","Ione Skye","Fairuza Balk","James Brolin","Robert Knepper","http://www.rottentomatoes.com/m/gas_food_lodging/","http://www.imdb.com/title/tt0104321/","104321"
"Mirrormask",80,"Feature Film","Drama",101,2005,"PG",18913,54,"Rotten","no","no","no","no","no","Upright","Dave McKean","Stephanie Leonidas","Jason Barry","Rob Brydon","Gina McKee","Dora Bryan","http://www.rottentomatoes.com/m/mirrormask/","http://www.imdb.com/title/tt0366780/","366780"
"Dead Bang",45,"Feature Film","Drama",102,1989,"R",2229,30,"Rotten","no","no","no","no","no","Spilled","John Frankenheimer","Don Johnson","Tim Reid","Penelope Ann Miller","William Forsythe","Bob Balaban","http://www.rottentomatoes.com/m/dead_bang/","http://www.imdb.com/title/tt0097166/","97166"
"September",53,"Feature Film","Drama",82,1987,"PG",5815,58,"Rotten","no","no","no","no","yes","Spilled","Woody Allen","Denholm Elliott","Dianne Wiest","Mia Farrow","Elaine Stritch","Sam Waterston","http://www.rottentomatoes.com/m/september_1987/","http://www.imdb.com/title/tt0093940/","93940"
"The People vs. Larry Flynt",80,"Feature Film","Drama",129,1996,"R",64533,87,"Certified Fresh","no","no","no","no","no","Upright","Milos Forman","Woody Harrelson","Courtney Love","Edward Norton","James Cromwell","Crispin Glover","http://www.rottentomatoes.com/m/people_vs_larry_flynt/","http://www.imdb.com/title/tt0117318/","117318"
"Breakin'",73,"Feature Film","Drama",90,1984,"PG",3808,33,"Rotten","no","no","no","no","no","Upright","Joel Silberg","Lucinda Dickey","Adolpho ""Shabba Doo"" Quinones","Adolfo Quinones","Michael Chambers","Ben Lokey","http://www.rottentomatoes.com/m/breakin/","http://www.imdb.com/title/tt0086998/","86998"
"Somersault",71,"Feature Film","Drama",106,2004,"Unrated",5673,83,"Certified Fresh","no","no","no","no","no","Upright","Cate Shortland","Abbie Cornish","Sam Worthington","Lynette Curran","Nathaniel Dean","Erik Thomson","http://www.rottentomatoes.com/m/somersault/","http://www.imdb.com/title/tt0381429/","381429"
"Training Day",89,"Feature Film","Drama",122,2001,"R",254131,72,"Fresh","no","no","yes","no","no","Upright","Antoine Fuqua","Denzel Washington","Ethan Hawke","Scott Glenn","Tom Berenger","Harris Yulin","http://www.rottentomatoes.com/m/training_day/","http://www.imdb.com/title/tt0139654/","139654"
"Big Business",69,"Feature Film","Comedy",97,1988,"PG",7674,36,"Rotten","no","no","no","no","no","Upright","Jim Abrahams","Bette Midler","Lily Tomlin","Fred Ward","Edward Herrmann","Michele Placido","http://www.rottentomatoes.com/m/1002310-big_business/","http://www.imdb.com/title/tt0094739/","94739"
"The Toxic Avenger Part II",34,"Feature Film","Action & Adventure",96,1989,"R",3880,0,"Rotten","no","no","no","no","no","Spilled","Michael Herz","Ron Fazio (II)","John Altamura","Phoebe Legere (II)","Rick Collins (II)","Rikiya Yasuoka","http://www.rottentomatoes.com/m/the-toxic-avenger-part-ii/","http://www.imdb.com/title/tt0098503/","98503"
"Tower Heist",49,"Feature Film","Drama",104,2011,"PG-13",96003,68,"Fresh","no","no","no","no","no","Spilled","Brett Ratner","Ben Stiller","Eddie Murphy","Casey Affleck","Alan Alda","Matthew Broderick","http://www.rottentomatoes.com/m/tower_heist/","http://www.imdb.com/title/tt0471042/","471042"
"Curious George",70,"Feature Film","Other",86,2006,"G",11528,69,"Fresh","no","no","no","no","no","Upright","David Cross","Hailey Johnson","Clint Howard","Kimberly Brooks","Wendy Cutler","Joey D'Auria","http://www.rottentomatoes.com/m/1153951-curious_george/","http://www.imdb.com/title/tt0381971/","381971"
"Something Wicked This Way Comes",65,"Feature Film","Horror",95,1983,"PG",5585,60,"Fresh","no","no","no","no","no","Upright","Jack Clayton","Jason Robards","Jonathan Pryce","Vidal Peterson","Diane Ladd","Shawn Carson","http://www.rottentomatoes.com/m/something_wicked_this_way_comes/","http://www.imdb.com/title/tt0086336/","86336"
"Bubble Boy",49,"Feature Film","Comedy",84,2001,"PG-13",22325,29,"Rotten","no","no","no","no","no","Spilled","Blair Hayes (II)","Betty Blowtorch","Jake Gyllenhaal","Swoosie Kurtz","Marley Shelton","Danny Trejo","http://www.rottentomatoes.com/m/bubble_boy/","http://www.imdb.com/title/tt0258470/","258470"
"House of 1000 Corpses",66,"Feature Film","Horror",89,2003,"R",53094,19,"Rotten","no","no","no","no","no","Upright","Rob Zombie","Sid Haig","Bill Moseley","Chris Hardwick","Erin Daniels","Dennis Fimple","http://www.rottentomatoes.com/m/house_of_1000_corpses/","http://www.imdb.com/title/tt0251736/","251736"
"Hotel Transylvania",72,"Feature Film","Other",91,2012,"PG",114130,45,"Rotten","no","no","no","no","no","Upright","Genndy Tartakovsky","Selena Gomez","Jon Lovitz","Brian George","Luenell","Jim Wise","http://www.rottentomatoes.com/m/hotel_transylvania/","http://www.imdb.com/title/tt0837562/","837562"
"Can't Buy Me Love",75,"Feature Film","Comedy",94,1987,"PG-13",19212,48,"Rotten","no","no","no","no","no","Upright","Steve Rash","Patrick Dempsey","Amanda Peterson","Courtney Gains","Seth Green","Tina Caspary","http://www.rottentomatoes.com/m/cant_buy_me_love/","http://www.imdb.com/title/tt0092718/","92718"
"Norma Jean & Marilyn",43,"TV Movie","Drama",139,1996,"R",2109,60,"Fresh","no","no","no","no","no","Spilled","Tim Fywell","Stephen Culp","Mira Sorvino","Ashley Judd","Josh Charles","Ron Rifkin","http://www.rottentomatoes.com/m/norma_jean_and_marilyn/","http://www.imdb.com/title/tt0117201/","117201"
"Flight of the Phoenix",41,"Feature Film","Drama",113,2004,"PG-13",42390,30,"Rotten","no","no","no","no","no","Spilled","John Moore","Dennis Quaid","Tyrese Gibson","Giovanni Ribisi","Miranda Otto","Tony Curran","http://www.rottentomatoes.com/m/flight_of_the_phoenix/","http://www.imdb.com/title/tt0377062/","377062"
"Angela's Ashes",82,"Feature Film","Other",145,1999,"R",15220,52,"Rotten","no","no","no","no","no","Upright","Alan Parker","Emily Watson","Robert Carlyle","Joe Breen","Ciaran Owens","Michael Legge","http://www.rottentomatoes.com/m/angelas_ashes/","http://www.imdb.com/title/tt0145653/","145653"
"The Innkeepers",42,"Feature Film","Mystery & Suspense",101,2011,"R",23460,79,"Certified Fresh","no","no","no","no","no","Spilled","Ti West","Sara Paxton","Pat Healy","Kelly McGillis","George Riddle","Alison Bartlett O'Reilly","http://www.rottentomatoes.com/m/the_innkeepers/","http://www.imdb.com/title/tt1594562/","1594562"
"The Lover",79,"Feature Film","Drama",115,1992,"R",12893,20,"Rotten","no","no","no","no","no","Upright","Jean-Jacques Annaud","Jane March","Tony Leung Karfai","Frederique Meninger","Arnaud Giovaninetti","Melvil Poupaud","http://www.rottentomatoes.com/m/lover/","http://www.imdb.com/title/tt0101316/","101316"
"Side Effects",70,"Feature Film","Mystery & Suspense",106,2013,"R",123592,83,"Certified Fresh","no","no","no","no","yes","Upright","Steven Soderbergh","Jude Law","Rooney Mara","Catherine Zeta-Jones","Channing Tatum","Ann Dowd","http://www.rottentomatoes.com/m/side_effects_2013/","http://www.imdb.com/title/tt2053463/","2053463"
"Teenage Mutant Ninja Turtles II: The Secret of the Ooze",68,"Feature Film","Action & Adventure",88,1991,"PG",37483,31,"Rotten","no","no","no","no","no","Upright","Michael Pressman","Paige Turco","David Warner","Michelan Sisti","Leif Tilden","Kenn Troum","http://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_2_the_secret_of_the_ooze/","http://www.imdb.com/title/tt0103060/","103060"
"Then She Found Me",44,"Feature Film","Drama",100,2007,"R",7657,50,"Rotten","no","no","yes","yes","no","Spilled","Helen Hunt","Helen Hunt","Bette Midler","Colin Firth","Matthew Broderick","Ben Shenkman","http://www.rottentomatoes.com/m/then_she_found_me/","http://www.imdb.com/title/tt0455805/","455805"
"Music Box",76,"Feature Film","Drama",124,1989,"PG-13",4460,75,"Fresh","no","no","no","yes","no","Upright","Costa-Gavras","Jessica Lange","Armin Mueller-Stahl","Frederic Forrest","Donald Moffat","Lukas Haas","http://www.rottentomatoes.com/m/1014451-music_box/","http://www.imdb.com/title/tt0100211/","100211"
"Drop Zone",31,"Feature Film","Action & Adventure",101,1994,"R",13901,35,"Rotten","no","no","no","no","no","Spilled","John Badham","Malcolm Jamal Warner","Wesley Snipes","Gary Busey","Yancy Butler","Michael Jeter","http://www.rottentomatoes.com/m/drop_zone/","http://www.imdb.com/title/tt0109676/","109676"
"Dillinger",74,"Feature Film","Drama",107,1973,"R",2934,92,"Fresh","no","no","no","no","no","Upright","John Milius","Warren Oates","Ben Johnson","Michelle Phillips","Cloris Leachman","Harry Dean Stanton","http://www.rottentomatoes.com/m/1005865-dillinger/","http://www.imdb.com/title/tt0069976/","69976"
"Shakespeare in Love",80,"Feature Film","Comedy",123,1998,"R",150556,92,"Certified Fresh","yes","yes","yes","yes","no","Upright","John Madden","Gwyneth Paltrow","Joseph Fiennes","Geoffrey Rush","Colin Firth","Ben Affleck","http://www.rottentomatoes.com/m/shakespeare_in_love/","http://www.imdb.com/title/tt0138097/","138097"
"The Lickerish Quartet",51,"Feature Film","Drama",90,1970,"R",546,67,"Fresh","no","no","no","no","no","Spilled","Radley Metzger","Erika Remberg","Paolo Turco","Silvana Venturelli","Frank Wolff",NA,"http://www.rottentomatoes.com/m/lickerish_quartet/","http://www.imdb.com/title/tt0065981/","65981"
"Deadly Friend",39,"Feature Film","Drama",91,1986,"R",4164,0,"Rotten","no","no","no","no","no","Spilled","Peter Graupner","Kristy Swanson","Matthew Laborteaux","Anne Twomey","Michael Sharrett","Richard Marcus","http://www.rottentomatoes.com/m/deadly_friend/","http://www.imdb.com/title/tt0090917/","90917"
"Harold & Kumar Escape from Guantanamo Bay",60,"Feature Film","Comedy",114,2008,"R",101385,53,"Rotten","no","no","no","no","no","Upright","Jon Hurwitz","Kal Penn","John Cho","Rob Corddry","Roger Bart","David Krumholtz","http://www.rottentomatoes.com/m/harold_and_kumar_2/","http://www.imdb.com/title/tt0481536/","481536"
"How to Make an American Quilt",64,"Feature Film","Drama",109,1995,"PG-13",7592,55,"Rotten","no","no","no","yes","no","Upright","Jocelyn Moorhouse","Winona Ryder","Ellen Burstyn","Anne Bancroft","Maya Angelou","Samantha Mathis","http://www.rottentomatoes.com/m/how_to_make_an_american_quilt/","http://www.imdb.com/title/tt0113347/","113347"
"The Body",44,"Feature Film","Drama",109,2001,"PG-13",6080,13,"Rotten","no","no","no","no","no","Spilled","Jonas McCord","Antonio Banderas","Olivia Williams","Derek Jacobi","Jason Flemyng","John Shrapnel","http://www.rottentomatoes.com/m/1107211-body/","http://www.imdb.com/title/tt0201485/","201485"
"Ellie Parker",43,"Feature Film","Other",95,2005,"R",3769,51,"Rotten","no","no","no","no","no","Spilled","Scott Coffey","Rebecca Riggs","Naomi Watts","Rebecca Rigg","Scott Coffey","Mark Pellegrino","http://www.rottentomatoes.com/m/ellie_parker/","http://www.imdb.com/title/tt0436262/","436262"
"Othello",65,"Feature Film","Drama",123,1995,"R",6556,68,"Fresh","no","no","no","no","no","Upright","Oliver Parker","Laurence Fishburne","Irene Jacob","Kenneth Branagh","Nathaniel Parker","Michael Maloney","http://www.rottentomatoes.com/m/1069707-othello/","http://www.imdb.com/title/tt0114057/","114057"
"Lincoln",81,"Feature Film","Drama",150,2012,"PG-13",163383,90,"Certified Fresh","yes","no","yes","yes","yes","Upright","Steven Spielberg","Daniel Day-Lewis","Sally Field","David Strathairn","Tommy Lee Jones","Joseph Gordon-Levitt","http://www.rottentomatoes.com/m/lincoln_2011/","http://www.imdb.com/title/tt0443272/","443272"
"The Thief Lord",69,"Feature Film","Action & Adventure",98,2006,"PG",4757,40,"Rotten","no","no","no","no","no","Upright","Richard Claus","Aaron Taylor-Johnson","Jasper Harris","Rollo Weeks","Alice Connor","George MacKay","http://www.rottentomatoes.com/m/thief_lord/","http://www.imdb.com/title/tt0430674/","430674"
"The Limey",79,"Feature Film","Mystery & Suspense",89,1999,"R",22257,93,"Certified Fresh","no","no","no","no","yes","Upright","Steven Soderbergh","Terence Stamp","Lesley Ann Warren","Luis Guzman","Barry Newman","Joe Dallesandro","http://www.rottentomatoes.com/m/limey/","http://www.imdb.com/title/tt0165854/","165854"
"Crocodile Dundee II",38,"Feature Film","Action & Adventure",108,1988,"PG",39285,11,"Rotten","no","no","no","no","no","Spilled","John Cornell","Paul Hogan","Linda Kozlowski","John Meillon","Charles S. Dutton","Ernie Dingo","http://www.rottentomatoes.com/m/crocodile_dundee_2/","http://www.imdb.com/title/tt0092493/","92493"
"I Dreamed of Africa",57,"Feature Film","Drama",114,2000,"PG-13",3393,10,"Rotten","no","no","no","no","no","Spilled","Hugh Hudson","Kim Basinger","Vincent Perez","Eva Marie Saint","Liam Aiken","Garrett Strommen","http://www.rottentomatoes.com/m/i_dreamed_of_africa/","http://www.imdb.com/title/tt0167203/","167203"
"Places in the Heart",82,"Feature Film","Drama",111,1984,"PG",6305,100,"Fresh","yes","no","no","yes","yes","Upright","Robert Benton","Sally Field","Danny Glover","John Malkovich","Lindsay Crouse","Ed Harris","http://www.rottentomatoes.com/m/places_in_the_heart/","http://www.imdb.com/title/tt0087921/","87921"
